Reaction ID	Pathway	Class1	Class2	Class3	Class4	Class5	Class6	SM1A
1.14.13.67-RXN	NA	Inorganic Nutrients Metabolism	Redox Metabolism	Nucleotides Metabolism	NA	NA	NA	NA
1.14.13.68-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.14.13.69-RXN	NA	Other	NA	NA	NA	NA	NA	NA
1.14.13.70-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Terpenoids
1.14.13.71-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.14.13.72-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
1.14.13.73-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.14.13.74-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.14.13.75-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.14.13.76-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Terpenoids
1.14.13.77-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Terpenoids
1.14.13.78-RXN	NA	Hormones Metabolism	NA	NA	NA	NA	NA	NA
1.14.13.79-RXN	NA	Hormones Metabolism	NA	NA	NA	NA	NA	NA
1.14.13.87-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
1.14.13.8-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.14.13.91-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.14.13.92-RXN	NA	Inorganic Nutrients Metabolism	NA	NA	NA	NA	NA	NA
1.14.13.93-RXN	NA	Hormones Metabolism	NA	NA	NA	NA	NA	NA
1.14.13.94-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
1.14.13.95-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
1.14.13.98-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
1.14.13.99-RXN	NA	Inorganic Nutrients Metabolism	Redox Metabolism	Nucleotides Metabolism	NA	NA	NA	NA
1.14.15.6-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
1.14.18.2-RXN	NA	Nucleotides Metabolism	Carbohydrates Metabolism	NA	NA	NA	NA	NA
1.14.19.1-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
1.14.19.2-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
1.14.19.3-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
1.14.19.4-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
1.14.19.5-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
1.14.20.1-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.14.21.2-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.14.21.6-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
1.14.99.30-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Terpenoids
1.14.99.33-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
1.14.99.36-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
1.14.99.37-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Terpenoids
1.17.1.1-RXN	NA	Carbohydrates Metabolism	Nucleotides Metabolism	NA	NA	NA	NA	NA
1.17.4.2-RXN	NA	Nucleotides Metabolism	NA	NA	NA	NA	NA	NA
1.17.99.1-RXN	NA	Other	NA	NA	NA	NA	NA	NA
1.18.1.2-RXN	NA	Energy Metabolism	NA	NA	NA	NA	NA	NA
1.2.1.13-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
1.2.1.1-RXN	NA	Detoxification Metabolism	NA	NA	NA	NA	NA	NA
1.2.1.25-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
1.2.1.27-RXN	NA	Other	NA	NA	NA	NA	NA	NA
1.2.1.2-RXN	NA	Nucleotides Metabolism	Energy Metabolism	Other	NA	NA	NA	NA
1.2.1.31-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
1.2.1.32-RXN	NA	Other	Amino Acids Metabolism	NA	NA	NA	NA	NA
1.2.1.42-RXN	NA	Redox Metabolism	Cofactors Metabolism	Nucleotides Metabolism	NA	NA	NA	NA
1.2.1.45-RXN	NA	Other	NA	NA	NA	NA	NA	NA
1.2.1.47-RXN	NA	Other	NA	NA	NA	NA	NA	NA
1.2.1.54-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
1.2.1.58-RXN	NA	Redox Metabolism	Cofactors Metabolism	Nucleotides Metabolism	NA	NA	NA	NA
